PATENT_AUTHORITIES,COUNTRY_NAME,OBS_VALUE_sum,OBS_VALUE_mean,OBS_VALUE_std,YEAR_min,YEAR_max,YEAR_count
6F0,AND,14.51,0.6,1.57,2017,2020,24
6F0,ARE,271.49,11.31,20.93,2017,2020,24
6F0,ARG,283.76,11.35,18.11,2017,2021,25
6F0,ARM,20.25,0.84,1.66,2017,2020,24
6F0,Australia,5941.81,237.67,401.44,2017,2021,25
6F0,Austria,13909.9,556.4,876.15,2017,2021,25
6F0,BGR,302.98,12.12,20.16,2017,2021,25
6F0,BIH,10.71,0.45,1.15,2017,2020,24
6F0,BLR,59.98,2.5,5.54,2017,2020,24
6F0,BMU,2.17,0.09,0.29,2017,2020,24
6F0,Belgium,11101.23,444.05,690.06,2017,2021,25
6F0,Brazil,1689.76,67.59,113.95,2017,2021,25
6F0,CHL,305.5,12.22,19.07,2017,2021,25
6F0,COL,119.98,4.8,8.37,2017,2021,25
6F0,CRI,53.48,2.14,4.12,2017,2021,25
6F0,CUB,51.13,2.13,2.92,2017,2020,24
6F0,CYM,38.75,1.61,3.52,2017,2020,24
6F0,CYP,121.97,4.88,7.62,2017,2021,25
6F0,Canada,13247.39,529.9,895.01,2017,2021,25
6F0,China,94267.3,3770.69,6500.29,2017,2021,25
6F0,Czech Republic,1850.23,74.01,117.28,2017,2021,25
6F0,DJI,0.0,0.0,0.0,2017,2020,24
6F0,DZA,8.07,0.34,0.66,2017,2020,24
6F0,Denmark,10609.18,424.37,675.38,2017,2021,25
6F0,ECU,4.99,0.21,0.67,2017,2020,24
6F0,EGY,53.83,2.24,4.07,2017,2020,24
6F0,Estonia,299.02,11.96,19.83,2017,2021,25
6F0,European Union (27),359121.28,14364.85,22780.76,2017,2021,25
6F0,Finland,9215.0,368.6,615.54,2017,2021,25
6F0,France,59478.4,2379.14,3718.58,2017,2021,25
6F0,GEO,14.37,0.6,1.06,2017,2020,24
6F0,GTM,2.0,0.08,0.24,2017,2020,24
6F0,Germany,145830.86,5833.23,9266.5,2017,2021,25
6F0,Greece,912.29,36.49,61.49,2017,2021,25
6F0,HRV,206.09,8.24,13.44,2017,2021,25
6F0,Hong Kong,1747.13,69.89,114.78,2017,2021,25
6F0,Hungary,1431.53,57.26,91.8,2017,2021,25
6F0,IRN,43.74,1.82,3.28,2017,2020,24
6F0,ISL,198.25,7.93,13.83,2017,2021,25
